2025-09-21 19:01:25,249 - INFO] Time 0.071 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 21.171 (20.784) | MSSSIM 0.707 (0.639) | Lr 0.0001
2025-09-21 19:01:25,392 - INFO] Time 0.070 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 21.184 (20.802) | MSSSIM 0.590 (0.637) | Lr 0.0001
2025-09-21 19:01:25,533 - INFO] Time 0.069 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 19.476 (20.744) | MSSSIM 0.702 (0.640) | Lr 0.0001
2025-09-21 19:01:25,678 - INFO] Time 0.070 | CBR 0.0208 (0.0208) | SNR 1.0 | PSNR 20.460 (20.733) | MSSSIM 0.573 (0.637) | Lr 0.0001
2025-09-21 19:01:25,821 - INFO] Time 0.071 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 22.898 (22.898) | MSSSIM 0.747 (0.747) | Lr 0.0001
2025-09-21 19:01:25,965 - INFO] Time 0.071 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 28.483 (25.690) | MSSSIM 0.849 (0.798) | Lr 0.0001
2025-09-21 19:01:26,107 - INFO] Time 0.071 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 29.830 (27.070) | MSSSIM 0.925 (0.840) | Lr 0.0001
2025-09-21 19:01:26,290 - INFO] Time 0.110 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 28.318 (27.382) | MSSSIM 0.871 (0.848) | Lr 0.0001
2025-09-21 19:01:26,472 - INFO] Time 0.110 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 20.613 (26.028) | MSSSIM 0.714 (0.821) | Lr 0.0001
2025-09-21 19:01:26,616 - INFO] Time 0.071 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 24.480 (25.770) | MSSSIM 0.779 (0.814) | Lr 0.0001
2025-09-21 19:01:26,761 - INFO] Time 0.072 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 26.599 (25.889) | MSSSIM 0.893 (0.825) | Lr 0.0001
2025-09-21 19:01:26,906 - INFO] Time 0.071 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 19.844 (25.133) | MSSSIM 0.779 (0.820) | Lr 0.0001
2025-09-21 19:01:27,084 - INFO] Time 0.106 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 27.908 (25.441) | MSSSIM 0.912 (0.830) | Lr 0.0001
2025-09-21 19:01:27,228 - INFO] Time 0.071 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 27.562 (25.654) | MSSSIM 0.896 (0.837) | Lr 0.0001
2025-09-21 19:01:27,407 - INFO] Time 0.108 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 25.423 (25.633) | MSSSIM 0.830 (0.836) | Lr 0.0001
2025-09-21 19:01:27,550 - INFO] Time 0.071 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 29.541 (25.958) | MSSSIM 0.904 (0.842) | Lr 0.0001
2025-09-21 19:01:27,693 - INFO] Time 0.071 | CBR 0.0417 (0.0417) | SNR 1.0 | PSNR 20.399 (25.531) | MSSSIM 0.677 (0.829) | Lr 0.0001
